startup_name,industry,original_ask_amount,total_deal_amount,number_of_sharks_in_deal,total_deal_equity,number_of_presenters,funded_flag
Kineer,Food and Beverage,100.0,,,,2,False
PiChem,Manufacturing,40.0,,,,1,False
Clensta,Beauty/Fashion,100.0,,,,1,False
InfinitiInsects,Animal/Pets,25.0,,,,2,False
AshwaPro,Business Services,50.0,,,,1,False
Mine4Nine,Beauty/Fashion,75.0,,,,2,False
StudioBeej,Beauty/Fashion,75.0,,,,1,False
Sattuz,Food and Beverage,25.0,,,,2,False
Scintiglo,Medical/Health,75.0,,,,1,False
Glii,Business Services,40.0,,,,4,False
StanleeIndia,Electronics,60.0,,,,3,False
SpaceKidzIndia,Manufacturing,100.0,,,,2,False
UrbanNaps,Business Services,50.0,,,,2,False
Gizmoswala,Entertainment,75.0,,,,3,False
ZyppElectric,Vehicles/Electrical Vehicles,220.0,,,,2,False
Picsniff,Technology/Software,55.0,,,,1,False
Deciwood,Electronics,50.0,,,,2,False
HappyBar,Food and Beverage,60.0,,,,3,False
Tathastulive,Business Services,50.0,,,,3,False
BandsandCups,Beauty/Fashion,40.0,,,,1,False
MyWealthProtector,Business Services,50.0,,,,2,False
TheIris,Manufacturing,10.0,,,,2,False
Canebot,Food and Beverage,100.0,,,,2,False
OyeDelhiOye,Food and Beverage,35.0,,,,2,False
InaliAssistiveTech,Medical/Health,50.0,,,,2,False
Meera'sCelebrations,Business Services,50.0,,,,2,False
Artment,Lifestyle/Home,170.0,,,,2,False
Powertree,Manufacturing,150.0,,,,2,False
Eume,Beauty/Fashion,150.0,,,,3,False
Hoovu,Business Services,80.0,100.0,2.0,2.0,2,True
Dorji,Food and Beverage,30.0,30.0,3.0,15.0,2,True
Recode,Beauty/Fashion,100.0,,,,2,False
VeryMuchIndian,Beauty/Fashion,50.0,50.0,2.0,10.0,2,True
WatchoutWearables,Electronics,200.0,100.0,2.0,10.0,2,True
SoupX,Food and Beverage,75.0,50.0,1.0,18.0,2,True
ATMOSPHERE,Food and Beverage,75.0,,,,2,False
Stage,Entertainment,300.0,150.0,3.0,0.6,3,True
Girgit,Beauty/Fashion,20.0,20.0,1.0,20.0,2,True
GearHeadMotors,Vehicles/Electrical Vehicles,75.0,100.0,2.0,6.67,2,True
PatilKaki,Food and Beverage,40.0,40.0,2.0,4.0,3,True
Brandsdaddy,Manufacturing,70.0,35.0,1.0,5.0,2,True
Winston,Beauty/Fashion,100.0,100.0,2.0,10.0,2,True
Flatheads,Beauty/Fashion,75.0,,,,1,False
OrganicSmokes,Beauty/Fashion,100.0,,,,3,False
TeaFit,Food and Beverage,50.0,50.0,4.0,8.0,3,True
Haqdarshak,Business Services,100.0,100.0,3.0,2.0,2,True
Bhaskar'sPuranpoliGhar,Food and Beverage,75.0,,,,3,False
GunjanAppsStudios,Technology/Software,250.0,,,,2,False
